y_train;y_train_pred;y_test;y_test_pred
0.08106044702949902;0.19310571196212203;;0.21484375
0.10357301682804598;0.14327587420086288;;0.1337890625
0.10463379332577775;0.5224526474410305;;0.3330078125
0.3362980476455805;0.17250299054285181;;0.1572265625
0.30542818942851707;0.15764986584349788;;0.1572265625
0.4533333335060317;0.084342508460166;;0.04296875
0.24607387110345022;0.03259613853096442;;0.05078125
0.31286501894290664;0.11021569340512234;;0.1337890625
0.14153288623848548;0.1907100466785273;;0.21484375
0.06661458542049839;0.023202112492315654;;0.0712890625
0.08352760498805188;0.44571428588408163;;0.375
0.09871650010280102;0.5327426001145701;;0.3330078125
0.09512866123420971;0.40000000015238096;;0.345703125
0.11445602094922723;0.3743274149952021;;0.30078125
0.1245896850674018;0.1298601486520213;;0.1572265625
0.05955208874075388;0.25655503997316487;;0.0869140625
0.2627716580633143;0.2737742494549114;;0.22265625
0.3226872465663561;0.13330534349310622;;0.32421875
0.1974179093547258;0.2793496617786431;;0.28515625
0.11500702395266735;0.14920799773030588;;0.32421875
0.008942819024698324;0.21731123388581952;;0.2451171875
0.06264570374103892;0.16771165999530682;;0.1572265625
0.138841033575122;0.06278152098639127;;0.07421875
0.10518290999004724;0.1952117863720074;;0.349609375
0.14307969372880575;0.42105263157894735;;0.59765625
0.6665975330447563;0.015078407873202413;;0.3828125
0.25635127509542266;0.1245896850674018;;0.1337890625
0.10440950623506486;0.2194580298852195;;0.21484375
0.17478924748663863;0.2666182143456141;;0.2392578125
0.18742688571283253;0.2988800377450323;;0.2470703125
0.30317426989042373;0.14327587420086288;;0.1337890625
0.05032406157063205;0.09579378846467324;;0.21484375
0.12297119623677517;0.0773403749874818;;0.0947265625
0.6599638341693231;0.17535383221461398;;0.21484375
0.14617330872909082;0.07044764987424995;;0.14453125
0.07188504902476234;0.36095764272559855;;-798400080007.1709
0.08769643983755418;0.2930060938111478;;0.37109375
0.3306853462587206;0.20533501279721722;;0.2705078125
0.07284331513820022;0.212678297183722;;0.20703125
0.1098233324806526;0.4166676009352651;;0.1982421875
0.06805952998662665;0.11021569340512234;;0.1337890625
0.15767382249240494;0.13070523372766557;;0.1181640625
0.6311051939426697;0.19953816742998567;;0.15234375
0.4607129310069036;0.15237940223923394;;0.19140625
